                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.64809,                0.85976,                 1.0649,                0.68033,                0.58071,                0.64117,                0.51346,                0.69462,                 1.0059,                 1.1392,             0.00024747,             0.00024747,             0.00024747
                     36,                0.65828,                0.85973,                 1.0729,                0.70924,                0.57378,                0.64004,                 0.5119,                0.71101,                0.99167,                 1.1663,             0.00023334,             0.00023334,             0.00023334
                     37,                0.64497,                 0.8446,                 1.0641,                 0.7248,                0.57761,                0.65207,                0.51979,                0.70916,                0.99217,                 1.1635,              0.0002192,              0.0002192,              0.0002192
                     38,                0.63574,                0.82749,                 1.0644,                0.68581,                0.58953,                0.63955,                0.51152,                 0.7036,                 1.0019,                 1.1469,             0.00020506,             0.00020506,             0.00020506
                     39,                0.63511,                0.82969,                 1.0546,                0.67544,                0.60041,                0.64202,                 0.5143,                0.69233,                0.99635,                 1.1413,             0.00019092,             0.00019092,             0.00019092
                     40,                0.63656,                0.81494,                 1.0599,                 0.6367,                0.62301,                0.63914,                 0.5099,                0.70912,                0.99683,                 1.1493,             0.00017679,             0.00017679,             0.00017679
                     41,                0.59736,                0.78149,                 1.0742,                 0.6812,                0.59354,                 0.6538,                 0.5235,                 0.6797,                0.96861,                 1.1289,             0.00016265,             0.00016265,             0.00016265
                     42,                0.58766,                0.73255,                 1.0622,                0.66842,                0.60157,                0.64676,                0.51806,                0.67981,                0.99018,                 1.1385,             0.00014851,             0.00014851,             0.00014851
                     43,                0.57904,                0.72326,                 1.0525,                0.70007,                0.58795,                 0.6496,                0.52733,                0.67659,                0.97188,                 1.1267,             0.00013437,             0.00013437,             0.00013437
                     44,                  0.583,                0.71635,                 1.0555,                0.65101,                0.61382,                 0.6456,                 0.5227,                 0.6714,                0.99003,                 1.1282,             0.00012024,             0.00012024,             0.00012024
                     45,                0.57189,                0.70421,                 1.0506,                0.66554,                0.61545,                 0.6553,                0.53037,                0.66892,                0.97606,                 1.1338,              0.0001061,              0.0001061,              0.0001061
                     46,                0.55412,                0.68226,                 1.0372,                0.67576,                0.59604,                0.65195,                0.52341,                0.67395,                0.98811,                 1.1319,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     47,                0.54742,                0.66388,                 1.0327,                0.67225,                0.60715,                0.65382,                0.52773,                0.67381,                0.98172,                 1.1365,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     48,                0.55742,                 0.6776,                 1.0328,                 0.6907,                0.59773,                0.64955,                0.52391,                 0.6711,                 0.9933,                 1.1295,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     49,                0.53168,                0.65635,                 1.0085,                 0.6749,                0.61149,                0.65003,                0.52585,                0.66688,                  1.001,                 1.1274,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     50,                 0.5434,                0.64048,                 1.0282,                0.67795,                0.60298,                0.64893,                0.52507,                0.66848,                0.99422,                 1.1377,             3.5414e-05,             3.5414e-05,             3.5414e-05
