epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.998,0.96245,2.34789,1.25069,0.49104,0.35575,0.36389,0.24128,1.10596,2.28701,1.4882,0.000415625,0.000415625,0.000415625
2,196.185,1.08194,1.92055,1.34757,0.45674,0.31772,0.30092,0.20069,1.11755,2.21278,1.51685,0.000815812,0.000815812,0.000815812
3,288.26,1.10685,1.84404,1.36855,0.50425,0.41143,0.43,0.27713,1.14344,1.64754,1.50411,0.0011995,0.0011995,0.0011995
4,380.043,1.07694,1.7102,1.34694,0.55406,0.3955,0.43728,0.29711,1.07671,2.03328,1.49382,0.00117575,0.00117575,0.00117575
5,472.292,1.02802,1.61944,1.32431,0.43191,0.35211,0.34511,0.22542,1.25715,2.01459,1.64739,0.001151,0.001151,0.001151
6,564.84,0.99577,1.54214,1.30865,0.55173,0.40312,0.44453,0.31271,0.96344,1.70608,1.38577,0.00112625,0.00112625,0.00112625
7,655.754,0.95753,1.46243,1.28089,0.55319,0.46856,0.49692,0.36308,0.93586,1.61484,1.3659,0.0011015,0.0011015,0.0011015
8,747.678,0.943,1.42526,1.27761,0.61557,0.50538,0.55308,0.39919,0.93811,1.29182,1.37593,0.00107675,0.00107675,0.00107675
9,839.588,0.92571,1.38213,1.26827,0.60482,0.50777,0.54749,0.40798,0.8798,1.28604,1.28997,0.001052,0.001052,0.001052
10,930.921,0.90934,1.34532,1.26486,0.68231,0.44788,0.53888,0.40145,0.86059,1.3072,1.28995,0.00102725,0.00102725,0.00102725
11,1022.24,0.87694,1.28927,1.24015,0.60965,0.47739,0.53556,0.39247,0.92049,1.45353,1.3393,0.0010025,0.0010025,0.0010025
12,1113.45,0.88033,1.28986,1.24123,0.59712,0.48152,0.53376,0.3942,0.87739,1.38157,1.30162,0.00097775,0.00097775,0.00097775
13,1205.35,0.88172,1.28335,1.25292,0.64952,0.51827,0.57723,0.44023,0.81478,1.19098,1.27121,0.000953,0.000953,0.000953
14,1296.76,0.83849,1.22217,1.21829,0.57011,0.51902,0.55898,0.42137,0.81344,1.26426,1.27127,0.00092825,0.00092825,0.00092825
15,1388.18,0.81282,1.17122,1.19851,0.62703,0.53499,0.60292,0.46688,0.77679,1.07188,1.23874,0.0009035,0.0009035,0.0009035
16,1479.52,0.81359,1.18394,1.20447,0.68415,0.53471,0.61283,0.47423,0.77741,1.07723,1.23067,0.00087875,0.00087875,0.00087875
17,1571.18,0.81437,1.14536,1.20151,0.62155,0.54244,0.60407,0.46358,0.80405,1.07289,1.25838,0.000854,0.000854,0.000854
18,1662.56,0.80624,1.13612,1.19012,0.65519,0.55134,0.62022,0.4828,0.77402,1.05455,1.22808,0.00082925,0.00082925,0.00082925
19,1754.49,0.77616,1.09432,1.17862,0.63966,0.56168,0.62179,0.4761,0.78565,1.03041,1.24504,0.0008045,0.0008045,0.0008045
20,1846.28,0.78854,1.10353,1.17875,0.68614,0.53547,0.61651,0.47155,0.78837,1.05505,1.25454,0.00077975,0.00077975,0.00077975
21,1938.1,0.76588,1.07052,1.17407,0.675,0.55163,0.63759,0.49471,0.7569,1.00817,1.21876,0.000755,0.000755,0.000755
22,2029.92,0.77194,1.06628,1.17212,0.6344,0.58095,0.62649,0.49135,0.75445,1.02929,1.23723,0.00073025,0.00073025,0.00073025
23,2121.26,0.75766,1.04264,1.16599,0.661,0.58411,0.63602,0.49608,0.75719,1.00744,1.22691,0.0007055,0.0007055,0.0007055
24,2213.07,0.75429,1.03853,1.15762,0.64359,0.5815,0.63961,0.49163,0.76982,1.00289,1.22226,0.00068075,0.00068075,0.00068075
25,2304.56,0.74768,1.00316,1.16439,0.66067,0.57426,0.64081,0.50047,0.73366,0.99281,1.20888,0.000656,0.000656,0.000656
26,2396.38,0.75072,1.01967,1.16004,0.68677,0.55187,0.63255,0.4996,0.72979,0.97716,1.20571,0.00063125,0.00063125,0.00063125
27,2486.93,0.71571,0.97552,1.13749,0.65863,0.60793,0.65199,0.50924,0.73349,0.96479,1.20411,0.0006065,0.0006065,0.0006065
28,2578.04,0.725,0.98026,1.13627,0.66581,0.58651,0.64996,0.51656,0.71556,1.00664,1.1836,0.00058175,0.00058175,0.00058175
29,2670.11,0.72037,0.97234,1.13891,0.7116,0.55797,0.64781,0.51592,0.71107,0.96705,1.19591,0.000557,0.000557,0.000557
30,2761.73,0.70822,0.9606,1.13503,0.64572,0.61368,0.65717,0.52485,0.70532,0.96314,1.18723,0.00053225,0.00053225,0.00053225
