                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.70664,                0.94796,                 1.0918,                0.80713,                 1.1598,                 1.1039,                0.74241,                0.51733,                0.62232,                0.48792,                0.72737,                 1.0575,                 1.1341,                0.77971,                 1.2114,                 1.1378,             0.00040298,             0.00040298,             0.00040298
                     25,                0.71046,                0.93904,                 1.1001,                0.80782,                 1.1564,                 1.1125,                0.65779,                0.56379,                0.63209,                 0.5009,                0.72717,                 1.0375,                 1.1394,                0.78141,                  1.166,                 1.1451,             0.00038884,             0.00038884,             0.00038884
                     26,                0.70443,                0.94101,                 1.0928,                0.80166,                 1.1529,                 1.1051,                0.62314,                0.57284,                0.63088,                0.50091,                0.73077,                 1.0043,                 1.1238,                0.77117,                 1.1483,                 1.1223,             0.00037471,             0.00037471,             0.00037471
                     27,                0.67842,                0.92032,                 1.0765,                0.77502,                 1.1284,                 1.0855,                0.70369,                0.56425,                0.64313,                0.51289,                0.70016,                0.96928,                 1.1226,                0.75266,                 1.1168,                 1.1166,             0.00036057,             0.00036057,             0.00036057
                     28,                0.67886,                0.89431,                 1.0774,                0.77531,                 1.0915,                 1.0905,                0.65732,                0.55297,                0.62281,                0.49232,                0.70094,                 1.0467,                 1.1334,                0.74196,                 1.1977,                 1.1173,             0.00034643,             0.00034643,             0.00034643
                     29,                0.70168,                0.91256,                 1.0924,                0.80372,                 1.1161,                 1.1049,                 0.6702,                0.56943,                 0.6371,                0.50764,                0.69005,                0.99272,                 1.1133,                 0.7468,                 1.1266,                 1.1177,              0.0003323,              0.0003323,              0.0003323
                     30,                0.66801,                0.87916,                 1.0761,                0.76708,                 1.0726,                 1.0904,                0.65627,                0.56347,                0.63117,                0.49496,                0.71464,                 1.0451,                 1.1222,                0.78471,                  1.189,                 1.1317,             0.00031816,             0.00031816,             0.00031816
                     31,                0.66625,                0.86728,                  1.073,                0.76364,                 1.0583,                 1.0853,                0.62726,                0.57752,                0.62996,                0.50538,                0.71718,                0.99336,                 1.1206,                0.77099,                 1.1432,                 1.1217,             0.00030402,             0.00030402,             0.00030402
                     32,                0.67123,                0.85702,                 1.0695,                  0.765,                 1.0477,                 1.0795,                0.67234,                0.56008,                0.63006,                0.49358,                0.73014,                 1.0706,                 1.1734,                0.77755,                 1.2119,                  1.156,             0.00028988,             0.00028988,             0.00028988
                     33,                0.64618,                0.81604,                 1.0619,                0.73678,                0.99393,                 1.0706,                0.66208,                0.59801,                0.64383,                0.51166,                0.69449,                0.97692,                  1.117,                0.74002,                 1.1215,                 1.1117,             0.00027575,             0.00027575,             0.00027575
                     34,                0.63796,                0.81809,                 1.0577,                0.72945,                0.99637,                 1.0693,                0.64427,                0.58539,                0.63013,                0.50673,                 0.6946,                 1.0065,                  1.118,                0.74234,                 1.1313,                 1.1175,             0.00026161,             0.00026161,             0.00026161
